qid,category,system,question,answer,gold,correct,bleu,rouge_l,latency_s,n_supporting_values,context_chars,context_tokens_est,mode
cmp-01,comparison,graphrag,Which state had the highest malaria confirmed cases in 2024?,"Borno had the highest Malaria confirmed cases (26,243) for period 2024. Ranked results — Borno: 26,243, Kano: 25,187, Kaduna: 24,925, Lagos: 19,872, Enugu: 19,042.",Borno,True,0.0507,0.0714,0.0197,511,420,105,offline
cmp-01,comparison,baseline,Which state had the highest malaria confirmed cases in 2024?,"Based on the 8 most similar records retrieved, Malaria confirmed cases totals 1,500 across 8 facility-month reports (note: retrieval may not cover all relevant records).",Borno,False,0.0486,0.069,0.1035,8,1362,340,baseline-offline
cmp-02,comparison,graphrag,Which LGA in Kano had the most facility deliveries in 2023?,"Dala had the highest Facility deliveries (1,310) for period 2023. Ranked results — Dala: 1,310, Kano Municipal: 1,283, Nassarawa: 1,121.",Dala,True,0.0611,0.0833,0.013,103,243,60,offline
cmp-02,comparison,baseline,Which LGA in Kano had the most facility deliveries in 2023?,"Based on the 8 most similar records retrieved, Facility deliveries totals 300 across 8 facility-month reports (note: retrieval may not cover all relevant records).",Dala,False,0.0507,0.0714,0.1036,8,1612,403,baseline-offline
cmp-03,comparison,graphrag,Which state recorded the highest Penta 3 doses given in 2025?,"Lagos had the highest Penta 3 doses given (13,355) for period 2025. Ranked results — Lagos: 13,355, Enugu: 10,208, Rivers: 9,424, Borno: 9,219, Kano: 9,093.",Lagos,True,0.0486,0.069,0.0196,521,397,99,offline
cmp-03,comparison,baseline,Which state recorded the highest Penta 3 doses given in 2025?,"Based on the 8 most similar records retrieved, Penta 3 doses given totals 656 across 8 facility-month reports (note: retrieval may not cover all relevant records).",Lagos,False,0.0467,0.0667,0.1035,8,1302,325,baseline-offline
cmp-04,comparison,graphrag,Which LGA had the highest TB cases notified in 2024?,"Ikeja had the highest TB cases notified (336) for period 2024. Ranked results — Ikeja: 336, Alimosho: 294, Nsukka: 289, Obio-Akpor: 288, Surulere: 283.",Ikeja,True,0.0507,0.0714,0.0212,174,377,94,offline
cmp-04,comparison,baseline,Which LGA had the highest TB cases notified in 2024?,"Based on the 8 most similar records retrieved, TB cases notified totals 50 across 8 facility-month reports (note: retrieval may not cover all relevant records).",Ikeja,False,0.0486,0.069,0.1037,8,1321,330,baseline-offline
cmp-05,comparison,graphrag,Which state had the lowest facility deliveries in 2024?,"Kano had the lowest Facility deliveries (3,632) for period 2024. Ranked results — Kano: 3,632, Kaduna: 3,660, Borno: 3,916, Rivers: 4,163, Enugu: 4,321.",Kano,True,0.0529,0.0741,0.02,519,396,99,offline
cmp-05,comparison,baseline,Which state had the lowest facility deliveries in 2024?,"Based on the 8 most similar records retrieved, Facility deliveries totals 291 across 8 facility-month reports (note: retrieval may not cover all relevant records).",Kano,False,0.0507,0.0714,0.1076,8,1292,323,baseline-offline
cmp-06,comparison,graphrag,Which LGA in Lagos had the highest malaria confirmed cases in 2025?,"Surulere had the highest Malaria confirmed cases (7,231) for period 2025. Ranked results — Surulere: 7,231, Alimosho: 7,215, Ikeja: 6,913.",Surulere,True,0.0611,0.0833,0.0131,107,249,62,offline
cmp-06,comparison,baseline,Which LGA in Lagos had the highest malaria confirmed cases in 2025?,"Based on the 8 most similar records retrieved, Malaria confirmed cases totals 1,309 across 8 facility-month reports (note: retrieval may not cover all relevant records).",Surulere,False,0.0486,0.069,0.1031,8,1405,351,baseline-offline
cmp-07,comparison,graphrag,Which state had the most ANC 1st visit contacts in 2023?,"Lagos had the highest ANC 1st visit (7,713) for period 2023. Ranked results — Lagos: 7,713, Enugu: 7,105, Rivers: 6,839, Borno: 6,732, Kaduna: 6,724.",Lagos,True,0.0507,0.0714,0.0198,520,367,91,offline
cmp-07,comparison,baseline,Which state had the most ANC 1st visit contacts in 2023?,"Based on the 8 most similar records retrieved, ANC 1st visit totals 488 across 8 facility-month reports (note: retrieval may not cover all relevant records).",Lagos,False,0.0486,0.069,0.1077,8,1254,313,baseline-offline
cmp-08,comparison,graphrag,Which LGA recorded the lowest Penta 3 doses given in 2022?,"Zaria had the lowest Penta 3 doses given (2,378) for period 2022. Ranked results — Zaria: 2,378, Nassarawa: 2,424, Jere: 2,588, Chikun: 2,667, Dala: 2,690.",Zaria,True,0.0486,0.069,0.0203,172,388,97,offline
cmp-08,comparison,baseline,Which LGA recorded the lowest Penta 3 doses given in 2022?,"Based on the 8 most similar records retrieved, Penta 3 doses given totals 564 across 8 facility-month reports (note: retrieval may not cover all relevant records).",Zaria,False,0.0467,0.0667,0.105,8,1280,320,baseline-offline
trd-01,trend,graphrag,How has immunisation coverage changed in Lagos State over the last five years?,"Penta 3 doses given in Lagos State increased by 28% between 2021 and 2025. Yearly totals — 2021: 10,473; 2022: 11,927; 2023: 12,116; 2024: 13,046; 2025: 13,355.",increased,True,0.0378,0.0,0.0147,515,400,100,offline
trd-01,trend,baseline,How has immunisation coverage changed in Lagos State over the last five years?,"Based on the 8 most similar records retrieved, Penta 3 doses given totals 670 across 6 facility-month reports (note: retrieval may not cover all relevant records).",increased,False,0.0467,0.0667,0.1034,6,1188,297,baseline-offline
trd-02,trend,graphrag,What is the trend of malaria cases in Kano between 2020 and 2025?,"Malaria confirmed cases in Kano State increased by 3% between 2020 and 2025. Yearly totals — 2020: 23,756; 2025: 24,520.",increased,True,0.0514,0.0,0.0115,199,166,41,offline
trd-02,trend,baseline,What is the trend of malaria cases in Kano between 2020 and 2025?,"Based on the 8 most similar records retrieved, Malaria confirmed cases totals 900 across 4 facility-month reports (note: retrieval may not cover all relevant records).",increased,False,0.0486,0.069,0.1033,4,1513,378,baseline-offline
trd-03,trend,graphrag,How have facility deliveries changed in Rivers State over time?,"Facility deliveries in Rivers State increased by 1% between 2020 and 2025. Yearly totals — 2020: 3,936; 2021: 4,033; 2022: 4,013; 2023: 4,261; 2024: 4,163; 2025: 3,985.",increased,True,0.0378,0.0,0.0159,619,480,120,offline
trd-03,trend,baseline,How have facility deliveries changed in Rivers State over time?,"Based on the 8 most similar records retrieved, Facility deliveries totals 265 across 8 facility-month reports (note: retrieval may not cover all relevant records).",increased,False,0.0507,0.0714,0.1034,8,1326,331,baseline-offline
trd-04,trend,graphrag,What is the trend of TB cases notified in Borno between 2021 and 2025?,TB cases notified in Borno State increased by 6% between 2021 and 2025. Yearly totals — 2021: 669; 2025: 708.,increased,True,0.0514,0.0,0.0111,200,150,37,offline
trd-04,trend,baseline,What is the trend of TB cases notified in Borno between 2021 and 2025?,"Based on the 8 most similar records retrieved, TB cases notified totals 49 across 8 facility-month reports (note: retrieval may not cover all relevant records).",increased,False,0.0486,0.069,0.1037,8,1399,349,baseline-offline
trd-05,trend,graphrag,How have ANC 1st visit contacts changed in Enugu over the last three years?,"ANC 1st visit in Enugu State increased by 3% between 2023 and 2025. Yearly totals — 2023: 7,105; 2024: 7,421; 2025: 7,287.",increased,True,0.0466,0.0,0.0127,313,219,54,offline
trd-05,trend,baseline,How have ANC 1st visit contacts changed in Enugu over the last three years?,"Based on the 8 most similar records retrieved, ANC 1st visit totals 550 across 8 facility-month reports (note: retrieval may not cover all relevant records).",increased,False,0.0486,0.069,0.103,8,1372,343,baseline-offline
trd-06,trend,graphrag,How has Penta 3 doses given changed in Kaduna between 2020 and 2024?,"Penta 3 doses given in Kaduna State increased by 8% between 2020 and 2024. Yearly totals — 2020: 8,011; 2024: 8,638.",increased,True,0.0489,0.0,0.0112,205,160,40,offline
trd-06,trend,baseline,How has Penta 3 doses given changed in Kaduna between 2020 and 2024?,"Based on the 8 most similar records retrieved, Penta 3 doses given totals 716 across 8 facility-month reports (note: retrieval may not cover all relevant records).",increased,False,0.0467,0.0667,0.1033,8,1493,373,baseline-offline
rel-01,relationship,graphrag,Which diseases are most prevalent in northern Nigeria?,"By reported burden, the most prevalent is Malaria confirmed cases (455,381 cases). Ranking — Malaria confirmed cases: 455,381; TB cases notified: 12,556.",Malaria confirmed cases,True,0.109,0.2857,0.0317,3688,169,42,offline
rel-01,relationship,baseline,Which diseases are most prevalent in northern Nigeria?,"Most relevant record found: In 2023-08, Jere PHC 2 in Jere LGA, Borno State reported ANC 1st visit: 41; TB cases notified: 5; Penta 3 doses given: 58.",Malaria confirmed cases,False,0.0364,0.0,0.1032,0,1122,280,baseline-offline
rel-02,relationship,graphrag,Which diseases are most prevalent in southern Nigeria?,"By reported burden, the most prevalent is Malaria confirmed cases (340,720 cases). Ranking — Malaria confirmed cases: 340,720; TB cases notified: 14,419.",Malaria confirmed cases,True,0.109,0.2857,0.0307,3694,169,42,offline
rel-02,relationship,baseline,Which diseases are most prevalent in southern Nigeria?,"Most relevant record found: In 2023-08, Jere PHC 2 in Jere LGA, Borno State reported ANC 1st visit: 41; TB cases notified: 5; Penta 3 doses given: 58.",Malaria confirmed cases,False,0.0364,0.0,0.1047,0,1122,280,baseline-offline
rel-03,relationship,graphrag,Which diseases had the highest burden in the north in 2024?,"By reported burden, the most prevalent is Malaria confirmed cases (76,355 cases). Ranking — Malaria confirmed cases: 76,355; TB cases notified: 2,023.",Malaria confirmed cases,True,0.109,0.2857,0.0356,612,169,42,offline
rel-03,relationship,baseline,Which diseases had the highest burden in the north in 2024?,"Most relevant record found: In 2024-08, Kaduna North PHC 3 in Kaduna North LGA, Kaduna State reported ANC 1st visit: 71; ANC 4th visit: 48; Facility deliveries: 44; TB cases notified: 6.",Malaria confirmed cases,False,0.0318,0.0,0.1097,0,1419,354,baseline-offline
rel-04,relationship,graphrag,Which diseases were most reported in the south in 2022?,"By reported burden, the most prevalent is Malaria confirmed cases (57,537 cases). Ranking — Malaria confirmed cases: 57,537; TB cases notified: 2,459.",Malaria confirmed cases,True,0.109,0.2857,0.0298,624,169,42,offline
rel-04,relationship,baseline,Which diseases were most reported in the south in 2022?,"Most relevant record found: In 2022-06, Zaria PHC 2 in Zaria LGA, Kaduna State reported ANC 1st visit: 50; ANC 4th visit: 33; TB cases notified: 5; Penta 3 doses given: 59.",Malaria confirmed cases,False,0.0318,0.0,0.1043,0,1236,309,baseline-offline
rel-05,relationship,graphrag,Which disease had the highest burden in northern Nigeria in 2021?,"By reported burden, the most prevalent is Malaria confirmed cases (74,619 cases). Ranking — Malaria confirmed cases: 74,619; TB cases notified: 2,062.",Malaria confirmed cases,True,0.109,0.2857,0.0294,605,169,42,offline
rel-05,relationship,baseline,Which disease had the highest burden in northern Nigeria in 2021?,"Most relevant record found: In 2021-06, Eleme PHC 1 in Eleme LGA, Rivers State reported ANC 1st visit: 81; TB cases notified: 7; Penta 3 doses given: 93.",Malaria confirmed cases,False,0.0364,0.0,0.1034,0,1176,294,baseline-offline
rel-06,relationship,graphrag,What are the top diseases in the south in 2025?,"By reported burden, the most prevalent is Malaria confirmed cases (57,864 cases). Ranking — Malaria confirmed cases: 57,864; TB cases notified: 2,388.",Malaria confirmed cases,True,0.109,0.2857,0.0296,619,169,42,offline
rel-06,relationship,baseline,What are the top diseases in the south in 2025?,"Most relevant record found: In 2025-09, Dala PHC 1 in Dala LGA, Kano State reported ANC 4th visit: 50; Facility deliveries: 41; TB cases notified: 7; Penta 3 doses given: 84.",Malaria confirmed cases,False,0.0328,0.0,0.1128,0,1302,325,baseline-offline
amb-01,ambiguous,graphrag,Where is the current outbreak?,"The question is ambiguous (no disease or indicator specified). Rather than guess, here are current totals for Malaria confirmed cases, TB cases notified so you can specify which one you mean — Malaria confirmed cases: 132,776 (2025); TB cases notified: 4,487 (2025).",ambiguous,True,0.0659,0.1923,0.0328,1227,160,40,offline
amb-01,ambiguous,baseline,Where is the current outbreak?,"Most relevant record found: In 2025-12, Nassarawa PHC 3 in Nassarawa LGA, Kano State reported ANC 1st visit: 40; ANC 4th visit: 31; Facility deliveries: 17; Malaria confirmed cases: 109; TB cases notified: 5; Penta 3 doses given: 55.",ambiguous,False,0.026,0.0,0.1035,0,1577,394,baseline-offline
amb-02,ambiguous,graphrag,What is the situation this month?,"The question is ambiguous (no disease or indicator specified). Rather than guess, here are current totals for Malaria confirmed cases, TB cases notified so you can specify which one you mean — Malaria confirmed cases: 132,776 (2025); TB cases notified: 4,487 (2025).",ambiguous,True,0.0659,0.1923,0.0301,1227,160,40,offline
amb-02,ambiguous,baseline,What is the situation this month?,"Most relevant record found: In 2025-12, Nassarawa PHC 3 in Nassarawa LGA, Kano State reported ANC 1st visit: 40; ANC 4th visit: 31; Facility deliveries: 17; Malaria confirmed cases: 109; TB cases notified: 5; Penta 3 doses given: 55.",ambiguous,False,0.026,0.0,0.1042,0,1577,394,baseline-offline
amb-03,ambiguous,graphrag,Where is the outbreak happening right now?,"The question is ambiguous (no disease or indicator specified). Rather than guess, here are current totals for Malaria confirmed cases, TB cases notified so you can specify which one you mean — Malaria confirmed cases: 132,776 (2025); TB cases notified: 4,487 (2025).",ambiguous,True,0.0659,0.1923,0.0307,1227,160,40,offline
amb-03,ambiguous,baseline,Where is the outbreak happening right now?,"Most relevant record found: In 2025-12, Nassarawa PHC 3 in Nassarawa LGA, Kano State reported ANC 1st visit: 40; ANC 4th visit: 31; Facility deliveries: 17; Malaria confirmed cases: 109; TB cases notified: 5; Penta 3 doses given: 55.",ambiguous,False,0.026,0.0,0.1035,0,1577,394,baseline-offline
amb-04,ambiguous,graphrag,Is there a problem in the north?,"The question is ambiguous (no disease or indicator specified). Rather than guess, here are current totals for Malaria confirmed cases, TB cases notified so you can specify which one you mean — Malaria confirmed cases: 132,776 (2025); TB cases notified: 4,487 (2025).",ambiguous,True,0.0659,0.1923,0.0298,1227,160,40,offline
amb-04,ambiguous,baseline,Is there a problem in the north?,"Most relevant record found: In 2025-08, Kaduna North PHC 3 in Kaduna North LGA, Kaduna State reported ANC 1st visit: 47; Facility deliveries: 44; TB cases notified: 8; Penta 3 doses given: 91.",ambiguous,False,0.0308,0.0,0.1039,0,1282,320,baseline-offline
amb-05,ambiguous,graphrag,What should we be worried about?,"The question is ambiguous (could not identify an indicator). Rather than guess, here are current totals for Malaria confirmed cases, TB cases notified so you can specify which one you mean — Malaria confirmed cases: 132,776 (2025); TB cases notified: 4,487 (2025).",ambiguous,True,0.0564,0.1538,0.032,1227,160,40,offline
amb-05,ambiguous,baseline,What should we be worried about?,"Most relevant record found: In 2025-12, Nassarawa PHC 3 in Nassarawa LGA, Kano State reported ANC 1st visit: 40; ANC 4th visit: 31; Facility deliveries: 17; Malaria confirmed cases: 109; TB cases notified: 5; Penta 3 doses given: 55.",ambiguous,False,0.026,0.0,0.1033,0,1577,394,baseline-offline
amb-06,ambiguous,graphrag,Give me the numbers.,"The question is ambiguous (could not identify an indicator). Rather than guess, here are current totals for Malaria confirmed cases, TB cases notified so you can specify which one you mean — Malaria confirmed cases: 132,776 (2025); TB cases notified: 4,487 (2025).",ambiguous,True,0.0564,0.1538,0.0321,1227,160,40,offline
amb-06,ambiguous,baseline,Give me the numbers.,"Most relevant record found: In 2025-12, Nassarawa PHC 3 in Nassarawa LGA, Kano State reported ANC 1st visit: 40; ANC 4th visit: 31; Facility deliveries: 17; Malaria confirmed cases: 109; TB cases notified: 5; Penta 3 doses given: 55.",ambiguous,False,0.026,0.0,0.1036,0,1577,394,baseline-offline
